Ewe/V	<I>/mA	cycle number	
2.2068165E-001	8.783097291598096E-005	1.000000000000000E+000
2.1880248E-001	-6.044282065469597E-003	1.000000000000000E+000
2.1539983E-001	-7.076181285380234E-003	1.000000000000000E+000
2.1196985E-001	-8.131879479725379E-003	1.000000000000000E+000
2.0858470E-001	-8.691256724175991E-003	1.000000000000000E+000
2.0514236E-001	-9.082787487551119E-003	1.000000000000000E+000
2.0177791E-001	-9.596602746260813E-003	1.000000000000000E+000
1.9836801E-001	-1.016667611992017E-002	1.000000000000000E+000
1.9495040E-001	-1.131474349044378E-002	1.000000000000000E+000
1.9157794E-001	-1.126796560384892E-002	1.000000000000000E+000
1.8817104E-001	-1.163704810330879E-002	1.000000000000000E+000
1.8476436E-001	-1.212155797173678E-002	1.000000000000000E+000
1.8139288E-001	-1.229420496415386E-002	1.000000000000000E+000
1.7796683E-001	-1.373272414675822E-002	1.000000000000000E+000
1.7458560E-001	-1.327114544498423E-002	1.000000000000000E+000
1.7117445E-001	-1.353564317895808E-002	1.000000000000000E+000
1.6782059E-001	-1.394314624760329E-002	1.000000000000000E+000
1.6436298E-001	-1.425752776214843E-002	1.000000000000000E+000
1.6101649E-001	-1.537421112793452E-002	1.000000000000000E+000
1.5758309E-001	-1.509230704943870E-002	1.000000000000000E+000
1.5412779E-001	-1.523281306580604E-002	1.000000000000000E+000
1.5076119E-001	-1.557834680755130E-002	1.000000000000000E+000
1.4737883E-001	-1.654460569107280E-002	1.000000000000000E+000
1.4403032E-001	-1.618365545032757E-002	1.000000000000000E+000
1.4061897E-001	-1.617423622132926E-002	1.000000000000000E+000
1.3717428E-001	-1.636403508128614E-002	1.000000000000000E+000
1.3380939E-001	-1.641536825474316E-002	1.000000000000000E+000
1.3035674E-001	-1.757345190237497E-002	1.000000000000000E+000
1.2761369E-001	-1.683548994299963E-002	1.000000000000000E+000
1.2653589E-001	-1.483429441801634E-002	1.000000000000000E+000
1.2912080E-001	-2.214142494882925E-004	1.000000000000000E+000
1.3397253E-001	3.012961134933156E-003	1.000000000000000E+000
1.3803521E-001	7.282596912523774E-003	1.000000000000000E+000
1.4211185E-001	8.140368676641613E-003	1.000000000000000E+000
1.4705083E-001	9.600548050563006E-003	1.000000000000000E+000
1.5125345E-001	9.825825073765421E-003	1.000000000000000E+000
1.5465851E-001	1.109177750069817E-002	1.000000000000000E+000
1.5800300E-001	1.087024179206945E-002	1.000000000000000E+000
1.6146041E-001	1.095357973300767E-002	1.000000000000000E+000
1.6485244E-001	1.106230506540973E-002	1.000000000000000E+000
1.6821226E-001	1.125187187634147E-002	1.000000000000000E+000
1.7161524E-001	1.210743143027418E-002	1.000000000000000E+000
1.7501125E-001	1.154154717795649E-002	1.000000000000000E+000
1.7846526E-001	1.159344563375994E-002	1.000000000000000E+000
1.8183379E-001	1.169136891693345E-002	1.000000000000000E+000
1.8527292E-001	1.168171207587249E-002	1.000000000000000E+000
1.8859892E-001	1.259531039019998E-002	1.000000000000000E+000
1.9203690E-001	1.187945391965292E-002	1.000000000000000E+000
1.9546650E-001	1.175912550150297E-002	1.000000000000000E+000
1.9884542E-001	1.197226880986160E-002	1.000000000000000E+000
2.0220372E-001	1.189738739822635E-002	1.000000000000000E+000
2.0558280E-001	1.275632189132853E-002	1.000000000000000E+000
2.0898236E-001	1.211010068660504E-002	1.000000000000000E+000
2.1240729E-001	1.209970861115799E-002	1.000000000000000E+000
2.1581399E-001	1.221067763393840E-002	1.000000000000000E+000
2.1927799E-001	1.245029648455567E-002	1.000000000000000E+000
2.2263272E-001	1.308040290484380E-002	1.000000000000000E+000
2.2539419E-001	1.284860935403813E-002	1.000000000000000E+000
2.2630528E-001	2.114642198596681E-002	1.000000000000000E+000
2.2368927E-001	-1.639607552597535E-003	2.000000000000000E+000
2.1947822E-001	-2.894018006280974E-003	2.000000000000000E+000
2.1432193E-001	-6.424456164339579E-003	2.000000000000000E+000
2.1094874E-001	-7.689361174501544E-003	2.000000000000000E+000
2.0756304E-001	-7.822908287474853E-003	2.000000000000000E+000
2.0415868E-001	-8.304084337740603E-003	2.000000000000000E+000
2.0069239E-001	-8.970598322651679E-003	2.000000000000000E+000
1.9732305E-001	-9.826887392807704E-003	2.000000000000000E+000
1.9392435E-001	-1.027387074551106E-002	2.000000000000000E+000
1.9052488E-001	-1.061470497571776E-002	2.000000000000000E+000
