Ewe/V	<I>/mA	
-6.3877039E-002	-1.011776199987083E-002
-6.7403235E-002	-1.053030352243312E-002
-7.0881777E-002	-1.015423789685444E-002
-7.4196167E-002	-1.050418766896880E-002
-7.7516213E-002	-1.075808622995530E-002
-8.0869399E-002	-1.109873117400721E-002
-8.4218778E-002	-1.141655153785394E-002
-8.7570943E-002	-1.169418457760050E-002
-9.0845309E-002	-1.207702525580466E-002
-9.4178550E-002	-1.235964271417719E-002
-9.7494587E-002	-1.265631484758412E-002
-1.0083776E-001	-1.298919424007634E-002
-1.0414686E-001	-1.329964849292592E-002
-1.0745061E-001	-1.362142016286305E-002
-1.1078701E-001	-1.389836590418507E-002
-1.1414057E-001	-1.426329313712632E-002
-1.1751988E-001	-1.457841648335056E-002
-1.2078273E-001	-1.481321977303229E-002
-1.2416229E-001	-1.496404161368353E-002
-1.2748647E-001	-1.510612298845663E-002
-1.3085118E-001	-1.540196366329682E-002
-1.3416708E-001	-1.571340140146973E-002
-1.3746876E-001	-1.602338224565278E-002
-1.4085406E-001	-1.636191484691521E-002
-1.4413860E-001	-1.673612361473258E-002
-1.4747886E-001	-1.711295161853153E-002
-1.5075260E-001	-1.749349162789182E-002
-1.5405612E-001	-1.800120206222885E-002
-1.5743326E-001	-1.850765002977570E-002
-1.6079234E-001	-1.903313648052019E-002
-1.6416910E-001	-1.961153171800513E-002
-1.6765931E-001	-2.026530938506901E-002
-1.7107552E-001	-2.060145274211961E-002
-1.7444044E-001	-2.096556132648603E-002
-1.7773427E-001	-2.137397674794478E-002
-1.8101135E-001	-2.182769912974869E-002
-1.8434511E-001	-2.227997076268129E-002
-1.8778171E-001	-2.290301181730020E-002
-1.9108848E-001	-2.342468809823423E-002
-1.9438639E-001	-2.397938322581439E-002
-1.9770645E-001	-2.458090530880200E-002
-2.0101184E-001	-2.541368242286196E-002
-2.0431484E-001	-2.604229780395836E-002
-2.0761940E-001	-2.673053573110165E-002
-2.1101314E-001	-2.739356519357378E-002
-2.1438566E-001	-2.804786297337369E-002
-2.1767497E-001	-2.883039380055408E-002
-2.2099133E-001	-2.962554101465054E-002
-2.2439650E-001	-3.038148481749825E-002
-2.2777241E-001	-3.133730632410289E-002
-2.3112904E-001	-3.253401760263991E-002
-2.3458327E-001	-3.428609611889449E-002
-2.3817956E-001	-3.489306305369655E-002
-2.4142314E-001	-3.586893406368574E-002
-2.4475218E-001	-3.692533837469880E-002
-2.4811648E-001	-3.787984927080668E-002
-2.5136003E-001	-3.886481718762719E-002
-2.5458023E-001	-3.987920711517828E-002
-2.5811744E-001	-4.092431307390321E-002
-2.6141489E-001	-4.175873736845814E-002
-2.6469108E-001	-4.308536169298294E-002
-2.6807022E-001	-4.439358009671937E-002
-2.7140480E-001	-4.574309561145207E-002
-2.7469379E-001	-4.708724129188069E-002
-2.7804637E-001	-4.855172569810640E-002
-2.8139669E-001	-5.002605169830533E-002
-2.8472018E-001	-5.133638951848185E-002
-2.8796518E-001	-5.261901523426082E-002
-2.9128048E-001	-5.394972831361067E-002
-2.9466981E-001	-5.537980770457979E-002
-2.9801756E-001	-5.705077003761139E-002
-3.0136484E-001	-5.876824202264852E-002
-3.0466416E-001	-6.039953540175125E-002
-3.0800471E-001	-6.208307372474736E-002
-3.1131551E-001	-6.412902775375562E-002
-3.1465176E-001	-6.642977600908906E-002
-3.1803152E-001	-6.879557970930961E-002
-3.2133430E-001	-7.081981690916628E-002
-3.2470581E-001	-7.299183837995216E-002
-3.2805350E-001	-7.480716494774042E-002
-3.3134565E-001	-7.665185020284360E-002
-3.3464584E-001	-7.900428866738551E-002
-3.3801034E-001	-8.109922004097161E-002
-3.4139860E-001	-8.322594147952611E-002
-3.4466848E-001	-8.531719920971081E-002
-3.4796062E-001	-8.774624727941205E-002
-3.5135332E-001	-9.041264015308637E-002
-3.5467792E-001	-9.328989631135870E-002
-3.5805598E-001	-9.623806450978756E-002
-3.6132774E-001	-9.927347051406188E-002
-3.6463067E-001	-1.022342350202590E-001
-3.6792898E-001	-1.050950539282631E-001
-3.7132195E-001	-1.085749182368163E-001
-3.7463340E-001	-1.118107705615645E-001
-3.7798241E-001	-1.152465550008920E-001
-3.8135305E-001	-1.189490947923963E-001
-3.8461822E-001	-1.225673401698705E-001
-3.8801095E-001	-1.264847322549083E-001
-3.9134806E-001	-1.310704490731250E-001
-3.9459673E-001	-1.358106284487978E-001
-3.9797434E-001	-1.404964664120083E-001
-4.0129596E-001	-1.451815039525937E-001
-4.0460381E-001	-1.503376647193586E-001
-4.0795150E-001	-1.559467300928080E-001
-4.1132259E-001	-1.623509420696774E-001
-4.1469646E-001	-1.691082600644402E-001
-4.1800153E-001	-1.770313178173573E-001
-4.2127973E-001	-1.850920218568377E-001
-4.2455402E-001	-1.933227446590171E-001
-4.2792997E-001	-2.018638862813200E-001
-4.3124500E-001	-2.120331039428960E-001
-4.3461141E-001	-2.232023240366159E-001
-4.3792775E-001	-2.351243432277661E-001
-4.4127163E-001	-2.481146221576380E-001
-4.4457164E-001	-2.625605516497296E-001
-4.4789642E-001	-2.785662088519669E-001
-4.5124498E-001	-2.976171329455268E-001
-4.5460528E-001	-3.175540292727272E-001
-4.5789364E-001	-3.387200497227281E-001
-4.6124926E-001	-3.654001320420015E-001
-4.6456003E-001	-3.920602497601898E-001
-4.6792766E-001	-4.218474214149852E-001
-4.7125232E-001	-4.572971686134046E-001
-4.7462112E-001	-4.925613380048230E-001
-4.7793919E-001	-5.363397197859285E-001
-4.8126787E-001	-5.818973609858507E-001
-4.8450226E-001	-6.352705876070388E-001
-4.8787260E-001	-6.917480309692063E-001
-4.9119869E-001	-7.572052550401680E-001
-4.9454451E-001	-8.317668230583273E-001
-4.9789155E-001	-9.148139585972430E-001
