Ewe/V	<I>/mA	
2.1021885E-001	0.000000000000000E+000
2.1002023E-001	0.000000000000000E+000
-1.0076673E-001	5.452289994515418E-001
-1.0281479E-001	1.342542348043554E-001
-1.0640005E-001	-9.522616710638180E-004
-1.0991826E-001	-9.166169992528554E-003
-1.1325920E-001	-1.165949081330468E-002
-1.1656683E-001	-1.273957844368262E-002
-1.1990905E-001	-1.328088125585408E-002
-1.2329327E-001	-1.365542254760321E-002
-1.2657733E-001	-1.393844918854163E-002
-1.2991001E-001	-1.414954037587790E-002
-1.3325816E-001	-1.431554905787562E-002
-1.3661015E-001	-1.449702733441888E-002
-1.3995722E-001	-1.460669553265553E-002
-1.4326742E-001	-1.481445107518903E-002
-1.4658882E-001	-1.506814098428749E-002
-1.4986886E-001	-1.517771457160467E-002
-1.5324822E-001	-1.535565469236896E-002
-1.5656982E-001	-1.561230525541581E-002
-1.5991862E-001	-1.585188360357331E-002
-1.6324639E-001	-1.621616748249283E-002
-1.6658500E-001	-1.656042551089248E-002
-1.6988924E-001	-1.689573741451346E-002
-1.7323548E-001	-1.724942210352134E-002
-1.7656496E-001	-1.766938388173828E-002
-1.7991693E-001	-1.805496747653076E-002
-1.8318021E-001	-1.847956738432163E-002
-1.8656571E-001	-1.891414488599988E-002
-1.8986762E-001	-1.940888464680174E-002
-1.9316420E-001	-1.994568445267489E-002
-1.9651213E-001	-2.044210760162138E-002
-1.9982570E-001	-2.092875373664607E-002
-2.0312102E-001	-2.147988269596321E-002
-2.0645773E-001	-2.205345179996221E-002
-2.0978932E-001	-2.272523862864978E-002
-2.1320242E-001	-2.339926437474488E-002
-2.1646273E-001	-2.407352462869385E-002
-2.1982488E-001	-2.478635151618766E-002
-2.2320507E-001	-2.557885644000419E-002
-2.2650567E-001	-2.631511929659892E-002
-2.2986954E-001	-2.708078139436154E-002
-2.3316871E-001	-2.792032612590015E-002
-2.3649587E-001	-2.874847602913744E-002
-2.3981215E-001	-2.961120348930049E-002
-2.4320957E-001	-3.057371209773385E-002
-2.4642847E-001	-3.147521201960110E-002
-2.4980146E-001	-3.257220477035605E-002
-2.5312734E-001	-3.371157791714008E-002
-2.5644535E-001	-3.490391739226776E-002
-2.5974938E-001	-3.628596898502290E-002
-2.6307783E-001	-3.769998292052604E-002
-2.6643550E-001	-3.937498185013000E-002
-2.6979131E-001	-4.092403069771722E-002
-2.7308112E-001	-4.236458724859837E-002
-2.7647701E-001	-4.375224067685723E-002
-2.7979290E-001	-4.523369755675888E-002
-2.8309143E-001	-4.681558296834687E-002
-2.8639543E-001	-4.841832184048145E-002
-2.8975588E-001	-5.009281107834451E-002
-2.9308558E-001	-5.176299927236105E-002
-2.9642674E-001	-5.341549285231340E-002
-2.9976681E-001	-5.506406441779305E-002
-3.0308339E-001	-5.685380050259775E-002
-3.0644041E-001	-5.872475936448640E-002
-3.0979601E-001	-6.059890383421274E-002
-3.1314352E-001	-6.248344320219767E-002
