, Re(Z)/Ohm	-Im(Z)/Ohm	
4.6478872E+000	-2.5212765E+000
3.9844661E+000	-1.7924944E+000
3.6766303E+000	-1.1816874E+000
3.5649476E+000	-7.2078007E-001
3.5464630E+000	-3.9280489E-001
3.5713937E+000	-1.5673226E-001
3.6206958E+000	1.9178230E-002
3.6860309E+000	1.5952195E-001
3.7669401E+000	2.7291346E-001
3.8601859E+000	3.7708622E-001
3.9736063E+000	4.7512993E-001
4.0993586E+000	5.7418156E-001
4.2438302E+000	6.7915559E-001
4.3999066E+000	7.9521912E-001
4.5748854E+000	9.2632914E-001
4.7589426E+000	1.0922196E+000
4.9530067E+000	1.3107789E+000
5.1507201E+000	1.6019857E+000
5.3644814E+000	2.0248969E+000
5.5902524E+000	2.6300261E+000
5.8333111E+000	3.5091650E+000
6.1081553E+000	4.7770028E+000
6.4401679E+000	6.6288285E+000
6.8565040E+000	9.3158226E+000
7.4112301E+000	1.3171300E+001
8.2096682E+000	1.8769714E+001
9.3290424E+000	2.6801291E+001
1.0959696E+001	3.8308086E+001
1.3332648E+001	5.4752834E+001
1.6667683E+001	7.8241730E+001
2.1662289E+001	1.1167376E+002
2.8953766E+001	1.5964023E+002
3.9054001E+001	2.2772906E+002
5.3453499E+001	3.2503952E+002
7.3833763E+001	4.6451959E+002
1.0319013E+002	6.6427338E+002
1.4626309E+002	9.5354761E+002
2.1158087E+002	1.3701008E+003
3.1008112E+002	1.9680808E+003
4.6535373E+002	2.8492495E+003
7.1174908E+002	4.1123096E+003
1.0961863E+003	5.9284692E+003
1.7090928E+003	8.5713594E+003
2.6556162E+003	1.2418761E+004
4.1138945E+003	1.7962643E+004
6.1392041E+003	2.6285346E+004
9.6629023E+003	3.7954152E+004
1.5367257E+004	5.4856977E+004
