Re(Z)/Ohm	-Im(Z)/Ohm	
4.0679855E+000	5.9416384E-001
4.2368903E+000	6.5828955E-001
4.4249253E+000	7.1238053E-001
4.6168032E+000	7.4738538E-001
4.8172374E+000	7.6857102E-001
5.0042224E+000	7.8448927E-001
5.1951895E+000	8.0450326E-001
5.3834238E+000	8.3745307E-001
5.5735173E+000	8.8617963E-001
5.7917180E+000	9.4697547E-001
6.0399995E+000	1.0222901E+000
6.3278961E+000	1.0919321E+000
6.6616702E+000	1.1275575E+000
7.0190735E+000	1.0974834E+000
7.3469973E+000	9.8993737E-001
7.6158452E+000	8.2451284E-001
7.7999296E+000	6.3346142E-001
7.9186707E+000	4.6999353E-001
7.9800849E+000	3.4186924E-001
8.0076437E+000	2.7913490E-001
8.0355959E+000	1.7752776E-001
8.0459404E+000	1.3157551E-001
8.0597048E+000	1.0173708E-001
8.0727139E+000	8.0410473E-002
8.0831680E+000	6.8861760E-002
8.1034241E+000	6.7608841E-002
8.1058016E+000	8.0776751E-002
8.1365824E+000	4.2879991E-002
8.1757669E+000	4.9381573E-002
8.2220955E+000	3.7707120E-002
8.3188763E+000	8.9264005E-002
8.3125153E+000	1.2921233E-001
8.3427458E+000	9.9162519E-002
8.3434658E+000	8.5526928E-002
8.4522600E+000	1.3507307E-003
8.6038723E+000	-1.2361200E-001
8.9306126E+000	-1.8542650E-001
9.2834826E+000	-5.8547582E-002
