Ewe/V	<I>/mA	cycle number	
2.0247835E-001	-6.066089496016502E-002	1.000000000000000E+000
2.0054537E-001	-5.557598492538807E-002	1.000000000000000E+000
1.9692343E-001	-5.773435222605833E-002	1.000000000000000E+000
1.9335386E-001	-5.873467293452972E-002	1.000000000000000E+000
1.8973930E-001	-6.049742463783536E-002	1.000000000000000E+000
1.8614835E-001	-6.059307845116790E-002	1.000000000000000E+000
1.8259495E-001	-5.829557767755898E-002	1.000000000000000E+000
1.7891920E-001	-6.405895723843447E-002	1.000000000000000E+000
1.7536832E-001	-6.538323010605418E-002	1.000000000000000E+000
1.7181128E-001	-6.597612950128728E-002	1.000000000000000E+000
1.6813391E-001	-6.774259558993778E-002	1.000000000000000E+000
1.6462843E-001	-6.548944050029348E-002	1.000000000000000E+000
1.6097286E-001	-6.669549633645336E-002	1.000000000000000E+000
1.5740301E-001	-7.142189910842278E-002	1.000000000000000E+000
1.5375802E-001	-7.228728059038292E-002	1.000000000000000E+000
1.5018952E-001	-7.320523306937243E-002	1.000000000000000E+000
1.4656839E-001	-7.273442180608780E-002	1.000000000000000E+000
1.4298341E-001	-7.027388225815445E-002	1.000000000000000E+000
1.3938262E-001	-7.418332438496256E-002	1.000000000000000E+000
1.3580577E-001	-7.588722491004496E-002	1.000000000000000E+000
1.3219187E-001	-7.633091391777080E-002	1.000000000000000E+000
1.2854995E-001	-7.669540363030447E-002	1.000000000000000E+000
1.2662113E-001	-7.085984572768211E-002	1.000000000000000E+000
1.2623903E-001	-7.383370399475098E-002	1.000000000000000E+000
1.2615116E-001	-8.002825267612934E-002	1.000000000000000E+000
1.3145947E-001	4.371108400012130E-002	1.000000000000000E+000
1.3808742E-001	3.803731150203694E-002	1.000000000000000E+000
1.4171010E-001	4.389267096821992E-002	1.000000000000000E+000
1.4531457E-001	4.654345112740643E-002	1.000000000000000E+000
1.4885508E-001	4.796455620880025E-002	1.000000000000000E+000
1.5245995E-001	4.842614084280988E-002	1.000000000000000E+000
1.5609233E-001	4.790370128430846E-002	1.000000000000000E+000
1.5969084E-001	4.854148755893450E-002	1.000000000000000E+000
1.6321634E-001	5.146582559380608E-002	1.000000000000000E+000
1.6683725E-001	5.228193100745910E-002	1.000000000000000E+000
1.7046991E-001	5.237409105110512E-002	1.000000000000000E+000
1.7403629E-001	5.199956587001248E-002	1.000000000000000E+000
1.7763574E-001	5.061517869421295E-002	1.000000000000000E+000
1.8125245E-001	5.311968276078860E-002	1.000000000000000E+000
1.8489100E-001	5.425768340420406E-002	1.000000000000000E+000
1.8843658E-001	5.434172374935098E-002	1.000000000000000E+000
1.9203842E-001	5.407204099623258E-002	1.000000000000000E+000
1.9561501E-001	5.118648513338120E-002	1.000000000000000E+000
1.9922429E-001	5.369237020401949E-002	1.000000000000000E+000
2.0286998E-001	5.502916939979147E-002	1.000000000000000E+000
2.0645864E-001	5.485875195720141E-002	1.000000000000000E+000
2.1000621E-001	5.458254403546803E-002	1.000000000000000E+000
2.1365495E-001	5.312934095244048E-002	1.000000000000000E+000
2.1728632E-001	5.324563903541502E-002	1.000000000000000E+000
2.2089691E-001	5.570945040003772E-002	1.000000000000000E+000
2.2445086E-001	5.572536823851404E-002	1.000000000000000E+000
2.2648895E-001	6.990723498165607E-002	1.000000000000000E+000
2.2645862E-001	6.067613698542118E-002	1.000000000000000E+000
2.2437920E-001	-1.353196039395074E-002	2.000000000000000E+000
2.2072576E-001	-2.500976828238814E-002	2.000000000000000E+000
2.1716137E-001	-2.963619378293325E-002	2.000000000000000E+000
2.1357094E-001	-3.277854078749698E-002	2.000000000000000E+000
2.0994507E-001	-3.799951186096051E-002	2.000000000000000E+000
2.0635323E-001	-4.041732589205449E-002	2.000000000000000E+000
2.0269816E-001	-4.230261511057271E-002	2.000000000000000E+000
1.9910546E-001	-4.391307399297754E-002	2.000000000000000E+000
1.9555542E-001	-4.396820120099515E-002	2.000000000000000E+000
1.9190091E-001	-4.508401993676492E-002	2.000000000000000E+000
1.8833889E-001	-4.929183274909921E-002	2.000000000000000E+000
1.8472733E-001	-5.036558188285288E-002	2.000000000000000E+000
1.8115959E-001	-5.185884211419362E-002	2.000000000000000E+000
1.7757453E-001	-5.234923600118568E-002	2.000000000000000E+000
1.7393349E-001	-5.145349484770612E-002	2.000000000000000E+000
1.7034185E-001	-5.486817366549929E-002	2.000000000000000E+000
1.6678908E-001	-5.735676595725592E-002	2.000000000000000E+000
1.6317263E-001	-5.882609599157818E-002	2.000000000000000E+000
1.5957062E-001	-5.934726617825037E-002	2.000000000000000E+000
1.5595405E-001	-5.856564530476149E-002	2.000000000000000E+000
1.5233284E-001	-5.937060753507289E-002	2.000000000000000E+000
1.4878826E-001	-6.324082860122382E-002	2.000000000000000E+000
1.4510921E-001	-6.394939624164042E-002	2.000000000000000E+000
1.4161581E-001	-6.444584064611036E-002	2.000000000000000E+000
1.3794525E-001	-6.461439571878014E-002	2.000000000000000E+000
1.3436142E-001	-6.193910006011183E-002	2.000000000000000E+000
1.3077465E-001	-6.553252786397934E-002	2.000000000000000E+000
1.2765633E-001	-6.812824448894006E-002	2.000000000000000E+000
1.2615521E-001	-8.107272535562515E-002	2.000000000000000E+000
1.2615900E-001	-7.188460417091846E-002	2.000000000000000E+000
1.2827139E-001	1.672171029286684E-002	2.000000000000000E+000
1.3186683E-001	3.192563309229302E-002	2.000000000000000E+000
1.3550273E-001	3.742573367946278E-002	2.000000000000000E+000
1.3908519E-001	3.877361983069449E-002	2.000000000000000E+000
1.4269468E-001	4.383680367853815E-002	2.000000000000000E+000
1.4627776E-001	4.696344165131464E-002	2.000000000000000E+000
1.4986897E-001	4.844338590290720E-002	2.000000000000000E+000
1.5348332E-001	4.935674276202906E-002	2.000000000000000E+000
1.5709752E-001	4.806562459504493E-002	2.000000000000000E+000
1.6067247E-001	4.881743072851175E-002	2.000000000000000E+000
1.6436559E-001	5.207384689811639E-002	2.000000000000000E+000
1.6787808E-001	5.274914244813617E-002	2.000000000000000E+000
1.7148593E-001	5.263019177019246E-002	2.000000000000000E+000
1.7504446E-001	5.232596769928932E-002	2.000000000000000E+000
1.7866364E-001	5.068775864726194E-002	2.000000000000000E+000
1.8227693E-001	5.291918603082507E-002	2.000000000000000E+000
1.8581271E-001	5.457458384967429E-002	2.000000000000000E+000
1.8943669E-001	5.462016028863759E-002	2.000000000000000E+000
1.9303192E-001	5.416971557474715E-002	2.000000000000000E+000
1.9666132E-001	5.284358266335742E-002	2.000000000000000E+000
2.0027681E-001	5.267104342361384E-002	2.000000000000000E+000
2.0379497E-001	5.452635932719518E-002	2.000000000000000E+000
2.0747785E-001	5.527884904712019E-002	2.000000000000000E+000
2.1104740E-001	5.503856016532820E-002	2.000000000000000E+000
2.1464442E-001	5.350529525017955E-002	2.000000000000000E+000
2.1830319E-001	5.334877817572492E-002	2.000000000000000E+000
2.2189513E-001	5.577285201389361E-002	2.000000000000000E+000
2.2496553E-001	5.753376133442456E-002	2.000000000000000E+000
2.2637077E-001	5.965427681803703E-002	2.000000000000000E+000
2.2632134E-001	7.825209014117718E-002	2.000000000000000E+000
