Ewe/V	<I>/mA	
2.4298228E-001	0.000000000000000E+000
2.5158757E-001	0.000000000000000E+000
2.5191614E-001	5.624938343054651E-005
2.5004619E-001	-2.161045551780426E-003
2.4663143E-001	-4.991563594530277E-003
2.4309437E-001	-7.602998501798861E-003
2.3962286E-001	-9.105685258732843E-003
2.3629506E-001	-1.045352802028131E-002
2.3298512E-001	-1.186342615919642E-002
2.2967787E-001	-1.311087788282839E-002
2.2633214E-001	-1.420329613505562E-002
2.2300120E-001	-1.523076870562706E-002
2.1958137E-001	-1.626687930450510E-002
2.1593754E-001	-1.704997983212617E-002
2.1265304E-001	-1.758351057558333E-002
2.0928770E-001	-1.800073685474090E-002
2.0600237E-001	-1.834335731637430E-002
2.0271893E-001	-1.860964493544116E-002
1.9939244E-001	-1.890450575673056E-002
1.9603600E-001	-1.910951219373161E-002
1.9279012E-001	-1.925819103241122E-002
1.8937576E-001	-1.942078049205001E-002
1.8597540E-001	-1.965281888127618E-002
1.8257210E-001	-1.978351729854246E-002
1.7922159E-001	-1.976231369205544E-002
1.7596170E-001	-1.965992230080293E-002
1.7260571E-001	-1.941399781995623E-002
1.6931422E-001	-1.904917848294099E-002
1.6598985E-001	-1.863949798914327E-002
1.6265759E-001	-1.815655239868441E-002
1.5932854E-001	-1.769509713583270E-002
1.5610600E-001	-1.719360352525773E-002
1.5282255E-001	-1.665208979081362E-002
1.4939357E-001	-1.615283310369148E-002
1.4608085E-001	-1.572742266168492E-002
1.4275603E-001	-1.533323296242103E-002
1.3936502E-001	-1.489409307318618E-002
1.3605399E-001	-1.439510705631930E-002
1.3270162E-001	-1.394126603018575E-002
1.2933329E-001	-1.343951717412173E-002
1.2603331E-001	-1.293476218773298E-002
1.2261237E-001	-1.247223316145787E-002
1.1929222E-001	-1.196154011890732E-002
1.1610874E-001	-1.139197763930240E-002
1.1279710E-001	-1.083360721239388E-002
1.0944361E-001	-1.033246988427190E-002
1.0612006E-001	-9.836503558973614E-003
1.0276833E-001	-9.519466364456011E-003
9.9397466E-002	-9.143357741399488E-003
9.6124642E-002	-8.785245627523558E-003
9.2796378E-002	-8.499686557765663E-003
8.9452602E-002	-8.299822649106031E-003
8.6093687E-002	-8.135546859260545E-003
8.2791872E-002	-7.922663614861242E-003
7.9474151E-002	-7.724879010889751E-003
7.6164894E-002	-7.572993574952974E-003
7.2762243E-002	-7.469082043811442E-003
6.9456004E-002	-7.449327027831141E-003
6.6050172E-002	-7.416279180847335E-003
6.2751964E-002	-7.357963603891779E-003
5.9378911E-002	-7.185835588758321E-003
5.6137286E-002	-7.060275781871544E-003
5.2765805E-002	-6.949718773920477E-003
4.9506441E-002	-6.844867306311953E-003
4.6150621E-002	-6.685123202445659E-003
4.2826530E-002	-6.541455360893469E-003
3.9464090E-002	-6.407595558351131E-003
3.6142491E-002	-6.354822685678163E-003
3.2795701E-002	-6.264396475693347E-003
2.9458417E-002	-6.185905043316640E-003
2.6211360E-002	-6.135373864058860E-003
2.2823170E-002	-6.133875434961321E-003
1.9532384E-002	-6.218089151151400E-003
1.6192805E-002	-6.282767788930197E-003
1.2848427E-002	-6.377771576065928E-003
9.5400494E-003	-6.486802226492408E-003
6.1871028E-003	-6.531764940368834E-003
2.8330882E-003	-6.691843716471194E-003
