Ewe/V	<I>/mA	
1.9713351E-001	0.000000000000000E+000
1.9772924E-001	0.000000000000000E+000
-1.0054993E-001	-3.816576317103227E+000
-1.0234659E-001	-1.711620034132018E+000
-1.0568389E-001	-1.063237904964794E+000
-1.0904621E-001	-8.897710233776763E-001
-1.1234280E-001	-7.963070381638735E-001
-1.1568763E-001	-7.408543137975823E-001
-1.1901422E-001	-6.979613387826173E-001
-1.2239520E-001	-6.698350183841661E-001
-1.2570716E-001	-6.496188803649048E-001
-1.2905550E-001	-6.340198296716490E-001
-1.3238326E-001	-6.221073922182065E-001
-1.3573202E-001	-6.128913782056851E-001
-1.3907157E-001	-6.063433238860920E-001
-1.4238794E-001	-6.018604276710953E-001
-1.4569543E-001	-5.993106150378384E-001
-1.4905570E-001	-5.983306253849312E-001
-1.5238953E-001	-5.987356867316092E-001
-1.5569946E-001	-6.007703769875246E-001
-1.5902652E-001	-6.040190943750012E-001
-1.6232395E-001	-6.085689704650497E-001
-1.6564834E-001	-6.143917517547779E-001
-1.6900541E-001	-6.210771771377988E-001
-1.7234440E-001	-6.285938450465292E-001
-1.7564578E-001	-6.368143482416562E-001
-1.7897370E-001	-6.452123009165716E-001
-1.8229333E-001	-6.536814201984011E-001
-1.8566447E-001	-6.620230153657838E-001
-1.8898538E-001	-6.699266981332022E-001
-1.9231008E-001	-6.775489587265495E-001
-1.9563647E-001	-6.847556744559258E-001
-1.9895971E-001	-6.917416229976041E-001
-2.0226999E-001	-6.988853940521098E-001
-2.0563328E-001	-7.064459879538072E-001
-2.0897515E-001	-7.175487924079111E-001
-2.1231996E-001	-7.263800615497065E-001
-2.1565251E-001	-7.355173906016486E-001
-2.1897340E-001	-7.454679038936627E-001
-2.2231086E-001	-7.561837461042824E-001
-2.2564870E-001	-7.677759663484975E-001
-2.2895919E-001	-7.802636234346672E-001
-2.3228543E-001	-7.951726830270669E-001
-2.3561192E-001	-8.107784418543134E-001
-2.3891413E-001	-8.258564407864819E-001
-2.4226770E-001	-8.417993041209435E-001
-2.4561235E-001	-8.587973137403933E-001
-2.4894641E-001	-8.796353020904970E-001
-2.5225425E-001	-8.990343228364609E-001
-2.5557768E-001	-9.184942994369933E-001
-2.5888965E-001	-9.385259421636984E-001
-2.6222470E-001	-9.625968510681595E-001
-2.6557189E-001	-9.843265155993688E-001
-2.6889446E-001	-1.005897689373882E+000
-2.7223068E-001	-1.028961899422042E+000
-2.7556142E-001	-1.055292285849003E+000
-2.7887464E-001	-1.078697362660709E+000
-2.8221273E-001	-1.103271201476129E+000
-2.8555644E-001	-1.134505784692596E+000
-2.8888327E-001	-1.160769120211102E+000
-2.9224148E-001	-1.191115930942715E+000
-2.9557967E-001	-1.223827110644542E+000
-2.9889143E-001	-1.253902406075962E+000
-3.0222198E-001	-1.290575964249124E+000
-3.0554608E-001	-1.323835024212162E+000
-3.0889356E-001	-1.362000753073712E+000
-3.1219456E-001	-1.399020767889050E+000
